"","feature","variable","level","estimate","std.error","p.value","q.value","method"
"232","Col156","HTA_PRE_ECLAM","Yes",0.398586065558237,1.34763151371025,0.767407382630975,0.95514223589263,"CPLM"
"233","Tn916.orf7","RCIU","Yes",0.0497073959510901,0.167449022881969,0.766580330606344,0.95514223589263,"CPLM"
"234","Tn916.orf14","OUT_GROUP","B",-0.0379605781190212,0.133389306666935,0.77596220630953,0.961662563375059,"CPLM"
"235","Col156","RCIU","Yes",0.136941867838013,0.949413432335079,0.885312224631007,0.971852104334882,"CPLM"
"236","IS621","HTA_PRE_ECLAM","Yes",0.139893426511108,0.706716317410395,0.843085366717305,0.971852104334882,"CPLM"
"237","IncFIB.AP001918.","PAT_AGE","PAT_AGE",0.0310429603855735,0.147043719090365,0.832798461014738,0.971852104334882,"CPLM"
"238","IncFIB.AP001918.","HTA_PRE_ECLAM","Yes",-0.177376482409229,0.973438233431137,0.855412845153047,0.971852104334882,"CPLM"
"239","Int.Tn916","DIABET_GESTA","Yes",0.0231829872412304,0.111944805945106,0.835937218023775,0.971852104334882,"CPLM"
"240","Tn916.orf13","OUT_GROUP","D",0.0188068777749757,0.129056333446561,0.884137606572935,0.971852104334882,"CPLM"
"241","Tn916.orf13","RCIU","Yes",-0.0279490523247022,0.175940005287662,0.873782654910084,0.971852104334882,"CPLM"
"242","Tn916.orf13","DIABET_GESTA","Yes",0.0171073076312871,0.109052417767474,0.875345461768561,0.971852104334882,"CPLM"
"243","Tn916.orf14","HTA_PRE_ECLAM","Yes",0.0435373793523715,0.227158847660034,0.848008145181984,0.971852104334882,"CPLM"
"244","Tn916.orf15","DIABET_GESTA","Yes",-0.0164505271839013,0.113796164013016,0.885057214216074,0.971852104334882,"CPLM"
"245","Tn916.orf15","HTA_PRE_ECLAM","Yes",0.0544665773270862,0.227923918157754,0.811130210986298,0.971852104334882,"CPLM"
"246","Tn916.orf16","RCIU","Yes",-0.0320051551189224,0.188589857868307,0.86524000110932,0.971852104334882,"CPLM"
"247","Tn916.orf16","DIABET_GESTA","Yes",-0.0211461322439806,0.115829104044031,0.855140758726122,0.971852104334882,"CPLM"
"248","Tn916.orf17","DIABET_GESTA","Yes",-0.0238956688576728,0.114448141354482,0.834611895576596,0.971852104334882,"CPLM"
"249","Tn916.orf18","OUT_GROUP","D",0.0271928201841323,0.131996387106337,0.836781653210888,0.971852104334882,"CPLM"
"250","Tn916.orf18","RCIU","Yes",0.0255480093769052,0.175629838771405,0.884343680850789,0.971852104334882,"CPLM"
"251","Tn916.orf19","RCIU","Yes",-0.0375006607385925,0.1770028641825,0.832212581833444,0.971852104334882,"CPLM"
"252","Tn916.orf20","DIABET_GESTA","Yes",-0.0299266727860032,0.113550200385538,0.792123178755211,0.971852104334882,"CPLM"
